Sr. No.,Year,Authors,Paper Title,Methodology,Key Finding / Advantage,Limitation / Gap,Paper Link,Sr. No.,Year,Authors,Paper Title,Methodology,Key Finding / Advantage,Limitation / Gap,Paper Link,Sr. No.
1,2026,"Costa, G., García-Holgado, A., Alvarez, P.",Systematic mapping of the literature on hackathons,Systematic Literature Review (PRISMA) - 37 studies,First comprehensive hackathon methodology categorization; 5 hackathon types identified,Limited to student contexts; no standardized framework; no long-term evaluation,https://doi.org/10.3389/feduc.2025.1701443,4051,6076,"Costa, G., García-Holgado, A., Alvarez, P.",Systematic mapping of the literature on hackathons,Systematic Literature Review (PRISMA) - 37 studies,First comprehensive hackathon methodology categorization; 5 hackathon types identified,Limited to student contexts; no standardized framework; no long-term evaluation,https://doi.org/10.3389/feduc.2025.1701444,8101
2,2025,"Marrujo-Ingunza, C., Paico-Campos, M.",The Evolution of Hackathons as an Innovation Tool: A Systematic Analysis,PRISMA systematic review - 73 articles,"Identifies global trend; skill development, innovation, entrepreneurship focus",No longitudinal studies; poor long-term sustainability assessment; geographical bias,https://doi.org/10.14569/IJACSA.2025.01611457,4048,6071,"Marrujo-Ingunza, C., Paico-Campos, M.",The Evolution of Hackathons as an Innovation Tool: A Systematic Analysis,PRISMA systematic review - 73 articles,"Identifies global trend; skill development, innovation, entrepreneurship focus",No longitudinal studies; poor long-term sustainability assessment; geographical bias,https://doi.org/10.14569/IJACSA.2025.01611458,8094
3,2025,"Falk, J., Chen, Y., Rafner, J., Zhang, M., Bjerva, J., Nolte, A.",How Do Hackathons Foster Creativity? Towards Automated Evaluation of Creativity at Scale,Mixed methods - ACM CHI 2025,First framework for automated creativity evaluation in hackathons; human-AI collaboration,Automated creativity assessment still challenging; requires validation,Search DOI: 10.1145/3613904.3642892,4047,6069,"Falk, J., Chen, Y., Rafner, J., Zhang, M., Bjerva, J., Nolte, A.",How Do Hackathons Foster Creativity? Towards Automated Evaluation of Creativity at Scale,Mixed methods - ACM CHI 2026,First framework for automated creativity evaluation in hackathons; human-AI collaboration,Automated creativity assessment still challenging; requires validation,Search DOI: 10.1145/3613904.3642893,8091
4,2024,"Sajja, R., Ramirez, C.E., Li, Z., Demiray, B., Sermet, Y., Demir, I.","Integrating Generative AI in Hackathons: Opportunities, Challenges, and Educational Implications",Qualitative analysis + case studies (233 participants),Comprehensive framework for GenAI integration; 58% used AI moderately,Limited to single university; no cross-institution comparison,https://doi.org/10.3390/bdcc8120188,4044,6064,"Sajja, R., Ramirez, C.E., Li, Z., Demiray, B., Sermet, Y., Demir, I.","Integrating Generative AI in Hackathons: Opportunities, Challenges, and Educational Implications",Qualitative analysis + case studies (233 participants),Comprehensive framework for GenAI integration; 58% used AI moderately,Limited to single university; no cross-institution comparison,https://doi.org/10.3390/bdcc8120189,8084
5,2024,"Oyetade, K., Harmse, A., Zuva, T.",Review of hackathon adoption factors in education,Systematic literature review - 30 articles,Identifies 5 key adoption factors,Limited to education context,https://doi.org/10.20525/ijrbs.v13i4.3362,4043,6062,"Oyetade, K., Harmse, A., Zuva, T.",Review of hackathon adoption factors in education,Systematic literature review - 30 articles,Identifies 5 key adoption factors,Limited to education context,https://doi.org/10.20525/ijrbs.v13i4.3363,8081
6,2025,Cognizant AI Lab,AI Scoring at Scale: Building a Multi-Agent Evaluation Framework,"Multi-agent system - 30,000+ submissions",7 specialized agents; training-free; task-agnostic,Sequential processing latency,https://www.cognizant.com/us/en/ai-lab/blog/ai-scoring-multi-agent-evaluation-system,4044,6063,Cognizant AI Lab,AI Scoring at Scale: Building a Multi-Agent Evaluation Framework,"Multi-agent system - 30,000+ submissions",8 specialized agents; training-free; task-agnostic,Sequential processing latency,https://www.cognizant.com/us/en/ai-lab/blog/ai-scoring-multi-agent-evaluation-system,8082
7,2025,Nirikshan95,Vettil: Multi-Agent Startup Idea Validator,Multi-agent architecture,"4 specialized agents: Market Analyst, Competitor Analysis, Risk Assessor, Advisor",Startup-focused; no academic papers integration,https://github.com/Nirikshan95/Vettil,4043,6061,Nirikshan96,Vettil: Multi-Agent Startup Idea Validator,Multi-agent architecture,"5 specialized agents: Market Analyst, Competitor Analysis, Risk Assessor, Advisor",Startup-focused; no academic papers integration,https://github.com/Nirikshan95/Vettil,8079
8,2025,ETHGlobal Team,Forge: Multi-Agent AI Code Auditor,Multi-agent AI architecture,Code graph analysis; requirement validation pipeline,Post-submission auditing only,https://ethglobal.com/showcase/forge,4042,6059,ETHGlobal Team,Forge: Multi-Agent AI Code Auditor,Multi-agent AI architecture,Code graph analysis; requirement validation pipeline,Post-submission auditing only,https://ethglobal.com/showcase/forge,8076
9,2025,ETHGlobal Team,zkHack: Zero-Knowledge Similarity Detection,"TF-IDF, TextRank, Zero-Knowledge encryption",70% similarity threshold; privacy-preserving,Keyword-based similarity only,https://ethglobal.com/showcase/zkhack,4041,6057,ETHGlobal Team,zkHack: Zero-Knowledge Similarity Detection,"TF-IDF, TextRank, Zero-Knowledge encryption",70% similarity threshold; privacy-preserving,Keyword-based similarity only,https://ethglobal.com/showcase/zkhack,8073
10,2025,Devpost Team,ProductiveAI / BlueRep: AI-Powered Project Comparison,4D similarity scoring,70% reduction in false positives; 4 dimensions,No innovation gap analysis; no academic integration,https://devpost.com/software/bluerep,4040,6055,Devpost Team,ProductiveAI / BlueRep: AI-Powered Project Comparison,4D similarity scoring,70% reduction in false positives; 4 dimensions,No innovation gap analysis; no academic integration,https://devpost.com/software/bluerep,8070
11,2024,IEEE FIE Conference,Hybrid Hackathon Configurations in Coding Camps,Case study,Practical insights for hybrid configurations,Small sample size; coding camps only,Search IEEE Xplore: FIE 2024,4037,6050,IEEE FIE Conference,Hybrid Hackathon Configurations in Coding Camps,Case study,Practical insights for hybrid configurations,Small sample size; coding camps only,Search IEEE Xplore: FIE 2025,8063
12,2024,IEEE Computer Society,Barriers to Student Participation in Hackathons,Qualitative study,Identifies participation barriers,No solution proposed,Search IEEE Computer Society Digital Library,4036,6048,IEEE Computer Society,Barriers to Student Participation in Hackathons,Qualitative study,Identifies participation barriers,No solution proposed,Search IEEE Computer Society Digital Library,8060
13,2023,ResearchGate,Corporate Hackathon Engagement Factors,Case study,Identifies corporate engagement factors,Not applicable to student hackathons,Search ResearchGate,4033,6043,ResearchGate,Corporate Hackathon Engagement Factors,Case study,Identifies corporate engagement factors,Not applicable to student hackathons,Search ResearchGate,8053
14,2025,XAI Challenge @ IJCNN,Bridging LLMs and Symbolic Reasoning in Educational QA Systems,Explainable AI framework,Controllable code generation; outperforms RAG,Still experimental,https://arxiv.org/abs/2508.01263,4036,6047,XAI Challenge @ IJCNN,Bridging LLMs and Symbolic Reasoning in Educational QA Systems,Explainable AI framework,Controllable code generation; outperforms RAG,Still experimental,https://arxiv.org/abs/2508.01264,8058
15,2025,Frontiers in Education,Rewiring andragogy: the T-L-E Hackathon Blueprint,Case study - 185 faculty,Teacher-focused hackathon blueprint,No student perspective,https://doi.org/10.3389/feduc.2025.1633267,4035,6045,Frontiers in Education,Rewiring andragogy: the T-L-E Hackathon Blueprint,Case study - 185 faculty,Teacher-focused hackathon blueprint,No student perspective,https://doi.org/10.3389/feduc.2025.1633268,8055
