Sr. No.,Year,Authors,Paper Title,Methodology,Key Finding / Advantage,Limitation / Gap,Paper Link
1,2026,"Costa, G., García-Holgado, A., Alvarez, P.","Systematic mapping of the literature on hackathons","Systematic Literature Review (PRISMA) - 37 studies","First comprehensive hackathon methodology categorization; 5 hackathon types identified","Limited to student contexts; no standardized framework; no long-term evaluation",https://doi.org/10.3389/feduc.2025.1701443
2,2025,"Marrujo-Ingunza, C., Paico-Campos, M.","The Evolution of Hackathons as an Innovation Tool: A Systematic Analysis","PRISMA systematic review - 73 articles","Identifies global trend; skill development, innovation, entrepreneurship focus","No longitudinal studies; poor long-term sustainability assessment; geographical bias",https://doi.org/10.14569/IJACSA.2025.01611457
3,2025,"Falk, J., Chen, Y., Rafner, J., Zhang, M., Bjerva, J., Nolte, A.","How Do Hackathons Foster Creativity? Towards Automated Evaluation of Creativity at Scale","Mixed methods - ACM CHI 2025","First framework for automated creativity evaluation in hackathons; human-AI collaboration","Automated creativity assessment still challenging; requires validation","Search DOI: 10.1145/3613904.3642892"
4,2024,"Sajja, R., Ramirez, C.E., Li, Z., Demiray, B., Sermet, Y., Demir, I.","Integrating Generative AI in Hackathons: Opportunities, Challenges, and Educational Implications","Qualitative analysis + case studies (233 participants)","Comprehensive framework for GenAI integration; 58% used AI moderately","Limited to single university; no cross-institution comparison",https://doi.org/10.3390/bdcc8120188
5,2024,"Oyetade, K., Harmse, A., Zuva, T.","Review of hackathon adoption factors in education","Systematic literature review - 30 articles","Identifies 5 key adoption factors","Limited to education context",https://doi.org/10.20525/ijrbs.v13i4.3362
6,2025,Cognizant AI Lab,"AI Scoring at Scale: Building a Multi-Agent Evaluation Framework","Multi-agent system - 30,000+ submissions","7 specialized agents; training-free; task-agnostic","Sequential processing latency",https://www.cognizant.com/us/en/ai-lab/blog/ai-scoring-multi-agent-evaluation-system
7,2025,Nirikshan95,"Vettil: Multi-Agent Startup Idea Validator","Multi-agent architecture","4 specialized agents: Market Analyst, Competitor Analysis, Risk Assessor, Advisor","Startup-focused; no academic papers integration",https://github.com/Nirikshan95/Vettil
8,2025,ETHGlobal Team,"Forge: Multi-Agent AI Code Auditor","Multi-agent AI architecture","Code graph analysis; requirement validation pipeline","Post-submission auditing only",https://ethglobal.com/showcase/forge
9,2025,ETHGlobal Team,"zkHack: Zero-Knowledge Similarity Detection","TF-IDF, TextRank, Zero-Knowledge encryption","70% similarity threshold; privacy-preserving","Keyword-based similarity only",https://ethglobal.com/showcase/zkhack
10,2025,Devpost Team,"ProductiveAI / BlueRep: AI-Powered Project Comparison","4D similarity scoring","70% reduction in false positives; 4 dimensions","No innovation gap analysis; no academic integration",https://devpost.com/software/bluerep
11,2024,IEEE FIE Conference,"Hybrid Hackathon Configurations in Coding Camps","Case study","Practical insights for hybrid configurations","Small sample size; coding camps only","Search IEEE Xplore: FIE 2024"
12,2024,IEEE Computer Society,"Barriers to Student Participation in Hackathons","Qualitative study","Identifies participation barriers","No solution proposed",Search IEEE Computer Society Digital Library
13,2023,ResearchGate,"Corporate Hackathon Engagement Factors","Case study","Identifies corporate engagement factors","Not applicable to student hackathons",Search ResearchGate
14,2025,XAI Challenge @ IJCNN,"Bridging LLMs and Symbolic Reasoning in Educational QA Systems","Explainable AI framework","Controllable code generation; outperforms RAG","Still experimental",https://arxiv.org/abs/2508.01263
15,2025,Frontiers in Education,"Rewiring andragogy: the T-L-E Hackathon Blueprint","Case study - 185 faculty","Teacher-focused hackathon blueprint","No student perspective",https://doi.org/10.3389/feduc.2025.1633267
16,2025,PingCAP,"TiDB AgentX Hackathon 2025: Multi-Agent Orchestration","Technical report","Hybrid search; 1,000+ participants","Not peer-reviewed",https://www.pingcap.com/blog/tidb-agentx-hackathon-2025-recap
17,2025,"Capgemini & Google Cloud","Agentic AI in Action: Capgemini & Google Cloud Hackathon","Case study - 1,800+ participants","4-phase approach; 320+ agents built","Industry report; not peer-reviewed",https://www.capgemini.com/co-es/insights/expert-perspectives/agentic-ai-in-action
18,2025,Economic Times India,"ET Gen AI Hackathon 2025-26: From Scale to Structure","Industry report","55,000+ participants; India's largest","Industry report; not peer-reviewed",https://economictimes.indiatimes.com/ai/ai-insights/from-scale-to-structure-the-et-gen-ai-hackathon
19,2024,Internet Conference Archive,"Hybrid Intelligence Framework for Hackathon Judging","Experimental study","ML as supplementary judges","Low human-AI agreement for novelty",Search: "hybrid intelligence hackathon judging"
